"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","","1","","2015-04-26 03:12:24"
"2","2","2","よく使う項目","2","/admin/favorites/*","1","1","","2015-04-26 03:12:24"
"3","3","3","ページ管理","2","/admin/pages/*","1","1","","2015-04-26 03:12:24"
"4","4","4","ページテンプレート読込・書出","2","/admin/pages/*_page_files","","1","","2015-04-26 03:12:24"
"5","5","5","ページカテゴリ管理","2","/admin/page_categories/*","1","1","","2015-04-26 03:12:24"
"6","6","6","ブログ基本設定","2","/admin/blog/blog_contents/edit/*","1","1","2015-09-28 01:10:02","2015-04-26 03:12:24"
"7","7","7","ブログ記事管理","2","/admin/blog/blog_posts/*","1","1","2015-09-28 01:10:14","2015-04-26 03:12:24"
"8","8","8","ブログ記事プレビュー","2","/admin/blog/blog/preview/*","1","1","2015-09-28 01:10:26","2015-04-26 03:12:24"
"9","9","9","ブログカテゴリ管理","2","/admin/blog/blog_categories/*","1","1","2015-09-28 01:10:39","2015-04-26 03:12:24"
"10","10","10","ブログコメント一覧","2","/admin/blog/blog_comments/*","1","1","2015-09-28 01:10:52","2015-04-26 03:12:24"
"11","11","11","ブログタグ管理","2","/admin/blog/blog_tags/*","1","1","2015-09-28 01:11:08","2015-04-26 03:12:24"
"12","12","12","メールフォーム基本設定","2","/admin/mail/mail_contents/edit/*","1","1","2015-09-28 01:11:24","2015-04-26 03:12:24"
"13","13","13","メールフォームフィールド管理","2","/admin/mail/mail_fields/*","1","1","2015-09-28 01:11:37","2015-04-26 03:12:24"
"14","14","14","メールフォーム受信メール一覧","2","/admin/mail/mail_messages/*","1","1","2015-09-28 01:11:48","2015-04-26 03:12:24"
"15","15","15","エディタテンプレート呼出","2","/admin/editor_templates/js","1","1","","2015-04-26 03:12:24"
